,index,TotalByYearUSD,Group
10857,18630,240000,Group1
10862,18638,379795,Group1
10878,18666,225000,Group1
10909,18723,592530,Group1
10913,18730,503245,Group1
10930,18768,272859,Group1
10977,18852,409288,Group1
10986,18866,204644,Group1
11006,18899,300000,Group1
11046,18971,225000,Group1
11048,18973,240000,Group1
11057,18987,450000,Group1
11078,19019,351730,Group1
11092,19044,225000,Group1
11110,19076,208125,Group1
11117,19087,568180,Group1
11123,19097,698049,Group1
11124,19098,230000,Group1
11160,19157,270000,Group1
11162,19159,450966,Group1
11163,19160,220000,Group1
11171,19170,613932,Group1
11196,19213,260000,Group1
11198,19216,380000,Group1
11218,19255,250000,Group1
11233,19284,210000,Group1
11256,19329,280000,Group1
11260,19337,300000,Group1
11269,19352,358494,Group1
11279,19371,306966,Group1
11305,19425,300000,Group1
11337,19494,220000,Group1
11376,19563,382002,Group1
11388,19584,252435,Group1
11408,19612,210000,Group1
11458,19710,291000,Group1
11461,19718,217591,Group1
11464,19724,530000,Group1
11465,19725,341866,Group1
11499,19785,270400,Group1
11545,19871,280000,Group1
11560,19894,270000,Group1
11564,19900,202351,Group1
11569,19911,422931,Group1
11624,20004,223213,Group1
11663,20080,229978,Group1
11743,20218,250000,Group1
11749,20226,238751,Group1
11763,20252,250000,Group1
11819,20359,250000,Group1
11822,20365,545717,Group1
11832,20379,450000,Group1
11884,20461,300000,Group1
11896,20485,290000,Group1
11905,20500,220448,Group1
11936,20550,210000,Group1
11959,20593,210000,Group1
11966,20604,357142,Group1
11977,20632,205000,Group1
11979,20635,240000,Group1
11993,20662,240000,Group1
12047,20744,380000,Group1
12056,20754,480000,Group1
12128,20882,300000,Group1
12138,20897,472196,Group1
12154,20922,600647,Group1
12164,20941,227382,Group1
12170,20950,480000,Group1
12175,20960,210000,Group1
12195,20993,436574,Group1
12219,21036,275192,Group1
12232,21054,250000,Group1
12254,21091,250000,Group1
12264,21113,210000,Group1
12276,21130,250000,Group1
12281,21139,250000,Group1
12298,21169,300000,Group1
12353,21274,354716,Group1
12355,21277,669000,Group1
12390,21339,230000,Group1
12391,21341,306966,Group1
12439,21420,220000,Group1
12448,21436,270000,Group1
12544,21611,400000,Group1
12548,21617,400000,Group1
12584,21686,300000,Group1
12600,21719,302178,Group1
12610,21731,222000,Group1
12619,21748,280000,Group1
12623,21754,355166,Group1
12650,21807,229978,Group1
12659,21823,500000,Group1
12665,21836,209000,Group1
12687,21877,250000,Group1
12691,21887,220000,Group1
12694,21892,377723,Group1
12709,21923,256000,Group1
12719,21945,205000,Group1
12737,21981,400000,Group1
12747,21994,220000,Group1
12752,22007,217916,Group1
12760,22026,350000,Group1
12779,22063,417064,Group1
12786,22073,219831,Group1
12788,22076,279659,Group1
12833,22158,363568,Group1
12844,22187,280000,Group1
12867,22234,343600,Group1
12874,22253,360000,Group1
12880,22262,350000,Group1
12887,22276,302178,Group1
12897,22295,690000,Group1
12903,22306,250000,Group1
12909,22321,270000,Group1
12913,22327,603973,Group1
12915,22331,210000,Group1
12933,22360,231806,Group1
12982,22446,240000,Group1
12997,22477,300000,Group1
13043,22571,320000,Group1
13098,22678,386543,Group1
13144,22775,586646,Group1
13210,22911,217000,Group1
13261,23017,545717,Group1
13265,23032,409288,Group1
13310,23099,654861,Group1
13314,23108,260000,Group1
13322,23121,536518,Group1
13334,23147,209377,Group1
13357,23180,375648,Group1
13362,23187,295597,Group1
13397,23248,660000,Group1
13403,23260,568180,Group1
13430,23315,382002,Group1
13470,23380,445824,Group1
13482,23399,386543,Group1
13498,23423,227382,Group1
13519,23455,409288,Group1
13539,23501,682147,Group1
13561,23534,236077,Group1
13582,23565,250270,Group1
13613,23620,338202,Group1
13703,23780,382002,Group1
13744,23833,297960,Group1
13775,23874,240000,Group1
13776,23877,350000,Group1
13810,23931,580369,Group1
13819,23948,284228,Group1
13884,24064,435063,Group1
13985,24246,300145,Group1
14076,24412,201006,Group1
14084,24427,405843,Group1
14104,24458,480000,Group1
14153,24550,450217,Group1
14218,24675,356899,Group1
14243,24719,211038,Group1
14244,24720,551946,Group1
14256,24737,338225,Group1
14311,24829,201006,Group1
14358,24915,227382,Group1
14580,25316,338202,Group1
14581,25318,270000,Group1
14690,25506,243506,Group1
14703,25534,251135,Group1
14725,25566,252000,Group1
14756,25610,250000,Group1
14786,25664,257695,Group1
14794,25686,245000,Group1
14876,25831,325157,Group1
14922,25908,260000,Group1
14986,26019,230000,Group1
14988,26025,682000,Group1
15009,26062,243015,Group1
15032,26097,518432,Group1
15091,26187,201500,Group1
15162,26298,204164,Group1
15166,26308,220000,Group1
15264,26474,257034,Group1
15267,26478,463969,Group1
15300,26535,202921,Group1
15312,26556,202921,Group1
15346,26604,235000,Group1
15353,26612,220000,Group1
15376,26651,292500,Group1
15380,26655,205000,Group1
15413,26703,212830,Group1
